,Name,Type,Park Code,Org Code,Region,NameType
336,RIVER RAISIN ,NBP,RIRA,6495,MWR,RIVER RAISIN NBP
337,ROCK CREEK  ,PARK,ROCR,3451-3459,NCR,ROCK CREEK PARK
338,ROCKY MOUNTAIN    ,NP,ROMO,1520-1529,IMR,ROCKY MOUNTAIN NP
339,ROGER WILLIAMS  ,NMEM,ROWI,1860,NER,ROGER WILLIAMS NMEM
340,ROSIE THE RIVETER/WWII HOME FRONT    ,NHP,RORI,8490,PWR,ROSIE THE RIVETER/WWII HOME FRONT NHP
341,ROSS LAKE  ,NRA,ROLA,9490,PWR,ROSS LAKE NRA
342,RUSSELL CAVE     ,NM,RUCA,5660,SER,RUSSELL CAVE NM
343,SAGAMORE HILL  ,NHS,SAHI,1880,NER,SAGAMORE HILL NHS
344,SAGUARO    ,NP,SAGU,8670,IMR,SAGUARO NP
345,SAINT CROIX      ,NSR,SACN,6590,MWR,SAINT CROIX NSR
346,SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE     ,OTHER,SACR,1708,NER,SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE OTHER
347,SAINT PAUL'S CHURCH  ,NHS,SAPA,1890,NER,SAINT PAUL'S CHURCH NHS
348,SAINT-GAUDENS  ,NHS,SAGA,1915,NER,SAINT-GAUDENS NHS
349,SALEM MARITIME  ,NHS,SAMA,1900,NER,SALEM MARITIME NHS
350,SALINAS PUEBLO MISSIONS    ,NM,SAPU,7260,IMR,SALINAS PUEBLO MISSIONS NM
351,SALT RIVER BAY ,NHP & ECO PRES,SARI,0,SER,SALT RIVER BAY NHP & ECO PRES
352,SAN ANTONIO MISSIONS   ,NHP,SAAN,7600-7609,IMR,SAN ANTONIO MISSIONS NHP
353,SAN FRANCISCO MARITIME    ,NHP,SAFR,8520,PWR,SAN FRANCISCO MARITIME NHP
354,SANTA MONICA MOUNTAINS    ,NRA,SAMO,8540-8549,PWR,SANTA MONICA MOUNTAINS NRA
355,SAN JUAN,NHS,SAJU,5331-5334,SER,SAN JUAN NHS
356,SAN JUAN ISLAND   ,NHP,SAJH,9530,PWR,SAN JUAN ISLAND NHP
357,SEQUOIA    ,NP,SEKI,8551-8564,PWR,SEQUOIA NP
358,SAND CREEK MASSACRE,NHS,SAND,1315,IMR,SAND CREEK MASSACRE NHS
359,SARATOGA NATIONAL HISTORICAL PARK,NHP,SARA,1910,NER,SARATOGA NATIONAL HISTORICAL PARK NHP
360,SAUGUS IRON WORKS  ,NHS,SAIR,1920,NER,SAUGUS IRON WORKS NHS
361,SCOTTS BLUFF     ,NM,SCBL,6700,MWR,SCOTTS BLUFF NM
362,SELMA TO MONTGOMERY,NHT,SEMO,5685,SER,SELMA TO MONTGOMERY NHT
363,SHENANDOAH  ,NP,SHEN,4840-4847,NER,SHENANDOAH NP
364,SHILOH       ,NMP,SHIL,5580&5589,SER,SHILOH NMP
365,SITKA    ,NHP,SITK,9835,AKR,SITKA NHP
366,SLEEPING BEAR DUNES     ,NL,SLBE,6620,MWR,SLEEPING BEAR DUNES NL
367,SPRINGFIELD ARMORY  ,NHS,SPAR,1930,NER,SPRINGFIELD ARMORY NHS
368,STATUE OF LIBERTY AND ELLIS ISLAND,NM,STLI,1940,NER,STATUE OF LIBERTY AND ELLIS ISLAND NM
369,STEAMTOWN  ,NHS,STEA,4810,NER,STEAMTOWN NHS
371,STONES RIVER       ,NB,STRI,5580&5589,SER,STONES RIVER NB
373,SUNSET CRATER VOLCANO    ,NM,SUCR,7475,IMR,SUNSET CRATER VOLCANO NM
374,TALLGRASS PRAIRIE     ,NPRES,TAPR,6355,MWR,TALLGRASS PRAIRIE NPRES
375,THADDEUS KOSCIUSZKO  ,NMEM,THKO,4460,NER,THADDEUS KOSCIUSZKO NMEM
376,THEODORE ROOSEVELT     ,NP,THRO,1540 - 1545,MWR,THEODORE ROOSEVELT NP
377,THEODORE ROOSEVELT BIRTHPLACE  ,NHS,THRB,1816,NER,THEODORE ROOSEVELT BIRTHPLACE NHS
379,THOMAS EDISON      ,NHP,EDIS,1840,NER,THOMAS EDISON NHP
381,THOMAS STONE  ,NHS,THST,4850,NER,THOMAS STONE NHS
382,TIMPANOGOS CAVE    ,NM,TICA,1550,IMR,TIMPANOGOS CAVE NM
383,TIMUCUAN ECOLOGICAL     ,PRES,TIMU,5308,SER,TIMUCUAN ECOLOGICAL PRES
384,TONTO    ,NM,TONT,8680,IMR,TONTO NM
385,TULE LAKE,NM,TULE,8410,PWR,TULE LAKE NM
386,TULE SPRINGS FOSSIL BEDS,NM,TUSK,8379,PWR,TULE SPRINGS FOSSIL BEDS NM
387,TUMACACORI     ,NHP,TUMA,8690,IMR,TUMACACORI NHP
389,TUSKEGEE AIRMEN       ,NHS,TUAI,5682,SER,TUSKEGEE AIRMEN NHS
390,TUSKEGEE INSTITUTE      ,NHS,TUIN/      SEMO,5680,SER,TUSKEGEE INSTITUTE NHS
391,TUZIGOOT    ,NM,TUZI,8650,IMR,TUZIGOOT NM
392,ULYSSES S. GRANT       ,NHS,ULSG,6519,MWR,ULYSSES S. GRANT NHS
393,UPPER DELAWARE ,S&RR,UPDE,4870,NER,UPPER DELAWARE S&RR
394,VALLES CALDERA,NPRES,VALL,"1290-1297
",IMR,VALLES CALDERA NPRES
395,VALLEY FORGE  ,NHP,VAFO,4860,NER,VALLEY FORGE NHP
397,VICKSBURG       ,NMP,VICK,5600-5609,SER,VICKSBURG NMP
399,VIRGIN ISLANDS     ,NP,VIIS,5661-5365,SER,VIRGIN ISLANDS NP
400,VIRGIN ISLANDS CORAL REEF,NM,VICR,5661-5365,SER,VIRGIN ISLANDS CORAL REEF NM
401,VOYAGEURS     ,NP,VOYA,6820,MWR,VOYAGEURS NP
402,WACO MAMMOTH,NM,WACO,7730,IMR,WACO MAMMOTH NM
403,WALNUT CANYON    ,NM,WACA,7475,IMR,WALNUT CANYON NM
404,WAR IN THE PACIFIC   ,NHP,WAPA,8790,PWR,WAR IN THE PACIFIC NHP
406,WASHITA BATTLEFIELD       ,NHS,WABA,7720,IMR,WASHITA BATTLEFIELD NHS
407,WEIR FARM  ,NHS,WEFA,1953,NER,WEIR FARM NHS
408,WHISKEYTOWN ,NRA,WHIS,8750,PWR,WHISKEYTOWN NRA
410,WHITE SANDS    ,NM,WHSA,7810,IMR,WHITE SANDS NM
411,WHITMAN MISSION      ,NHS,WHMI,9550,PWR,WHITMAN MISSION NHS
412,WILLIAM HOWARD TAFT       ,NHS,WIHO,6820,MWR,WILLIAM HOWARD TAFT NHS
413,WILSON’S CREEK     ,NB,WICR,6370,MWR,WILSON’S CREEK NB
414,WIND CAVE     ,NP,WICA,1560 - 1561,MWR,WIND CAVE NP
415,WOLF TRAP PARK FOR THE PERFORMING ARTS,OTHER,WOTR,3801-3817,NCR,WOLF TRAP PARK FOR THE PERFORMING ARTS OTHER
416,WOMEN'S RIGHTS  ,NHP,WORI,1955,NER,WOMEN'S RIGHTS NHP
419,WRANGELL-ST. ELIAS     ,NP,WRST,9865,AKR,WRANGELL-ST. ELIAS NP
420,WRANGELL-ST. ELIAS     ,NPRES,WRST,9865,AKR,WRANGELL-ST. ELIAS NPRES
421,WRIGHT BROTHERS     ,NMEM,WRBR,5187,SER,WRIGHT BROTHERS NMEM
422,WUPATKI    ,NM,WUPA,7475,IMR,WUPATKI NM
423,YELLOWSTONE    ,NP,YELL,1570 -  1581,IMR,YELLOWSTONE NP
424,YOSEMITE    ,NP,YOSE,8895,PWR,YOSEMITE NP
425,YUCCA HOUSE    ,NM,YUHO,1499,IMR,YUCCA HOUSE NM
427,ZION    ,NP,ZION,1590-1596,IMR,ZION NP
