,Name,Type,Park Code,Org Code,Region,NameType
32,"BIGHORN CANYON    
",NRA,BICA,1380,IMR,BIGHORN CANYON NRA
33,BIRMINGHAM CIVIL RIGHTS,NM,BICR,5730,SER,BIRMINGHAM CIVIL RIGHTS NM
34,BISCAYNE    ,NP,BISC,5250,SER,BISCAYNE NP
35,BLACK CANYON OF THE GUNNISON    ,NP,BLCA,1377,IMR,BLACK CANYON OF THE GUNNISON NP
37,BLUE RIDGE,PW,BLRI,5140-5159,SER,BLUE RIDGE PW
40,BOSTON    ,NHP,BOST,1720,NER,BOSTON NHP
41,BOSTON AFRICAN AMERICAN,NHS,BOAF,1723,NER,BOSTON AFRICAN AMERICAN NHS
42,BOSTON HARBOR ISLANDS  ,NRA,BOHA,1727,NER,BOSTON HARBOR ISLANDS NRA
44,BROWN V. BOARD OF EDUCATION       ,NHS,BRVB,6145,MWR,BROWN V. BOARD OF EDUCATION NHS
45,BRYCE CANYON    ,NP,BRCA,1330-1336,IMR,BRYCE CANYON NP
46,BUCK ISLAND REEF    ,NM,BUIS,5270,SER,BUCK ISLAND REEF NM
47,BUFFALO     ,NR,BUFF,7150-7159,MWR,BUFFALO NR
48,CABRILLO    ,NM,CABR,8110,PWR,CABRILLO NM
49,CANAVERAL    ,NS,CANA,5180,SER,CANAVERAL NS
50,CANE RIVER CREOLE,NHP,CARI,5720,SER,CANE RIVER CREOLE NHP
51,CANYON DE CHELLY    ,NM,CACH,7390,IMR,CANYON DE CHELLY NM
52,CANYONLANDS    ,NP,CANY,1341-1347,IMR,CANYONLANDS NP
53,CAPE COD    ,NS,CACO,1730,NER,CAPE COD NS
54,CAPE HATTERAS    ,NS,CAHA,5185-5200,SER,CAPE HATTERAS NS
56,CAPE LOOKOUT    ,NS,CALO,5210,SER,CAPE LOOKOUT NS
57,CAPITOL REEF    ,NP,CARE,1350,IMR,CAPITOL REEF NP
58,CAPULIN VOLCANO    ,NM,CAVO,7160,IMR,CAPULIN VOLCANO NM
59,CARL SANDBURG HOME      ,NHS,CARL,5160,SER,CARL SANDBURG HOME NHS
60,CARLSBAD CAVERNS    ,NP,CAVE,7171-7179,IMR,CARLSBAD CAVERNS NP
62,CASA GRANDE RUINS    ,NM,CAGR,8610,IMR,CASA GRANDE RUINS NM
63,CASTILLO de SAN MARCOS    ,NM,CASA,5260,SER,CASTILLO de SAN MARCOS NM
64,CASTLE CLINTON ,NM,CACL,1812,NER,CASTLE CLINTON NM
65,CASTLE MOUNTAIN,NM,CAMO,8380-8388,PWR,CASTLE MOUNTAIN NM
66,CATOCTIN MOUNTAIN  ,PARK,CATO,3201,NCR,CATOCTIN MOUNTAIN PARK
67,CEDAR BREAKS    ,NM,CEBR,1360,IMR,CEDAR BREAKS NM
68,CEDAR CREEK & BELLE GROVE,NHP,CEBE,4240,NER,CEDAR CREEK & BELLE GROVE NHP
69,CESAR E. CHAVEZ,NM,CECH,8551,PWR,CESAR E. CHAVEZ NM
70,CHANNEL ISLANDS    ,NP,CHIS,8120-8129,PWR,CHANNEL ISLANDS NP
71,CHACO CULTURE    ,NHP,CHCU,7400,IMR,CHACO CULTURE NHP
72,CHAMIZAL    ,NMEM,CHAM,7210-7219,IMR,CHAMIZAL NMEM
73,CHARLES PINCKNEY       ,NHS,CHPI,5440,SER,CHARLES PINCKNEY NHS
74,CHARLES YOUNG BUFFALO SOLDIERS,NM,CHYO,6240,MWR,CHARLES YOUNG BUFFALO SOLDIERS NM
75,CHATTAHOOCHEE RIVER     ,NRA,CHAT,5340,SER,CHATTAHOOCHEE RIVER NRA
76,CHESAPEAKE AND OHIO CANAL   ,NHP,CHOH,3101-3118,NCR,CHESAPEAKE AND OHIO CANAL NHP
