State,Park,Recreation Visitors,Percent Change
MA,New Bedford Whaling NHP,"13,570",29.40%
MA,Salem Maritime NHS,"392,836",117.03%
MA,Saugus Iron Works NHS,"27,478",34.12%
MA,Springfield Armory NHS,"14,486",6.85%
MI,Isle Royale NP,"25,454",-1.51%
MI,Keweenaw NHP,"15,255",22.46%
MI,Pictured Rocks NL,"925,685",-29.51%
MI,River Raisin NBP,"241,998",-8.15%
MI,Sleeping Bear Dunes NL,"1,501,117",-12.88%
MN,Grand Portage NM,"93,108",11.23%
MN,Mississippi NRRA,"303,882",33.01%
MN,Pipestone NM,"78,036",-5.23%
MN,Saint Croix NSR,"416,886",13.89%
MN,Voyageurs NP,"221,434",-8.89%
MS,Gulf Islands NS,"1,174,203",9.48%
MS,Medgar and Myrlie Evers Home NM,"11,231",986.17%
MS,Natchez NHP,"64,691",14.98%
MS,Natchez Trace PKWY,"5,234,829",2.22%
MS,Vicksburg NMP,"410,487",4.73%
MO,Gateway Arch NP,"1,618,774",41.37%
MO,George Washington Carver NM,"29,725",15.04%
MO,Harry S Truman NHS,"21,471",76.75%
MO,Ozark NSR,"1,291,305",-2.82%
MO,Ulysses S. Grant NHS,"32,354",16.29%
MO,Wilson's Creek NB,"282,914",4.30%
MT,Big Hole NB,"54,781",72.63%
MT,Bighorn Canyon NRA,"117,537",-0.84%
MT,Glacier NP,"2,908,458",-5.62%
MT,Grant-Kohrs Ranch NHS,"24,351",-0.51%
MT,Little Bighorn Battlefield NM,"168,433",-20.29%
MT,Yellowstone NP,"1,678,023",-32.30%
NE,Agate Fossil Beds NM,"16,357",-10.44%
NE,Homestead NHP,"47,614",-12.01%
NE,Niobrara NSR,"80,071",-11.69%
NE,Scotts Bluff NM,"174,651",-9.99%
NV,Death Valley NP,"20,309",-3.67%
NV,Great Basin NP,"142,115",-1.91%
NV,Lake Mead NRA,"4,183,669",-26.64%
NV,Tule Springs Fossil Beds NM,"47,674",298.85%
NH,Saint-Gaudens NHP,"25,513",-2.09%
NJ,Delaware Water Gap NRA,"3,109,961",0.91%
NJ,Gateway NRA,"1,715,457",-5.73%
NJ,Morristown NHP,"245,231",-26.14%
NJ,Paterson Great Falls NHP,"248,293",-20.57%
NJ,Thomas Edison NHP,"33,095",123.51%
NM,Aztec Ruins NM,"50,396",-10.69%
NM,Bandelier NM,"210,941",-22.08%
NM,Capulin Volcano NM,"88,541",-16.96%
NM,Carlsbad Caverns NP,"390,932",11.94%
NM,Chaco Culture NHP,"41,594",30.30%
NM,El Malpais NM,"162,755",-10.44%
NM,El Morro NM,"60,501",-9.34%
NM,Fort Union NM,"7,557",-40.11%
NM,Gila Cliff Dwellings NM,"43,608",-4.01%
NM,Manhattan Project NHP,"9,616",26.79%
NM,Pecos NHP,"49,683",-15.71%
NM,Petroglyph NM,"339,394",-6.81%
NM,Salinas Pueblo Missions NM,"37,190",-2.34%
NM,Valles Caldera NPRES,"63,738",-16.77%
NM,White Sands NP,"705,127",-9.88%
NY,African Burial Ground NM,"29,743",224.46%
NY,Castle Clinton NM,"3,471,661",108.43%
NY,Eleanor Roosevelt NHS,"19,076",53.67%
NY,Federal Hall NMEM,"40,229",777.79%
NY,Fire Island NS,"393,749",75.06%
NY,Fort Stanwix NM,"71,716",56.98%
NY,Gateway NRA,"7,012,833",-3.15%
NY,General Grant NMEM,"132,542",130.56%
NY,Governors Island NM,"44,345",-76.81%
NY,Hamilton Grange NMEM,"45,198",55.34%
NY,Home of Franklin D. Roosevelt NHS,"100,665",117.07%
NY,Martin Van Buren NHS,"11,702",19.13%
NY,Sagamore Hill NHS,"91,735",-55.69%
NY,Saint Paul's Church NHS,"8,790",75.03%
NY,Saratoga NHP,"70,742",0.08%
NY,Statue of Liberty NM,"3,141,213",101.81%
NY,Stonewall NM,"1,581,961",2159.94%
NY,Theodore Roosevelt Birthplace NHS,"7,948",362.09%
NY,Theodore Roosevelt Inaugural NHS,"19,728",48.07%
NY,Upper Delaware S&RR,"135,360",0.34%
NY,Vanderbilt Mansion NHS,"326,012",-2.11%
NY,Women's Rights NHP,"34,294",50.10%
NC,Blue Ridge PKWY,"9,740,823",-1.49%
NC,Cape Hatteras NS,"2,862,844",-10.71%
NC,Cape Lookout NS,"541,533",-3.72%
NC,Carl Sandburg Home NHS,"79,123",65.37%
NC,Fort Raleigh NHS,"287,650",-1.98%
NC,Great Smoky Mountains NP,"5,692,558",-8.64%
NC,Guilford Courthouse NMP,"389,057",83.79%
NC,Moores Creek NB,"53,681",-11.60%
NC,Wright Brothers NMEM,"437,391",-9.29%
ND,Fort Union Trading Post NHS,"12,822",11.70%
ND,Knife River Indian Villages NHS,"9,217",-17.87%
ND,Theodore Roosevelt NP,"668,679",-16.00%
OH,Charles Young Buffalo Soldiers NM,"3,518",-56.62%
OH,Cuyahoga Valley NP,"2,913,312",13.13%
OH,Dayton Aviation Heritage NHP,"81,303",23.68%
OH,First Ladies NHS,"7,146",8.90%
OH,Hopewell Culture NHP,"51,850",8.37%
OH,James A. Garfield NHS,"32,173",53.34%
OH,Perry's Victory & Intl. Peace MEM,"90,988",33.79%
OH,William Howard Taft NHS,"27,740",62.77%
OK,Chickasaw NRA,"1,455,530",-4.06%
OK,Washita Battlefield NHS,"12,658",-16.93%
OR,Crater Lake NP,"527,259",-18.60%
OR,John Day Fossil Beds NM,"165,201",11.41%
OR,Lewis & Clark NHP,"279,924",2.08%
OR,Oregon Caves NM & PRES,"72,923",113.21%
PA,Allegheny Portage Railroad NHS,"176,144",-6.27%
PA,Delaware Water Gap NRA,"1,270,265",0.91%
PA,Edgar Allan Poe NHS,"10,726",
PA,Eisenhower NHS,"22,250",31.54%
PA,Flight 93 NMEM,"346,559",-18.31%
PA,Fort Necessity NB,"258,293",-6.03%
PA,Friendship Hill NHS,"16,395",-0.95%
PA,Gettysburg NMP,"764,576",11.19%
PA,Hopewell Furnace NHS,"57,238",16.22%
PA,Independence NHP,"2,688,302",79.74%
PA,Johnstown Flood NMEM,"148,142",-0.34%
PA,Steamtown NHS,"71,232",30.86%
PA,Thaddeus Kosciuszko NMEM,"1,680",
PA,Upper Delaware S&RR,"135,360",0.34%
PA,Valley Forge NHP,"1,645,298",9.53%
PR,San Juan NHS,"1,027,264",28.70%
RI,Roger Williams NMEM,"33,838",63.32%
SC,Charles Pinckney NHS,"12,585",-49.36%
SC,Congaree NP,"204,522",-4.95%
SC,Cowpens NB,"212,534",3.77%
SC,Fort Sumter and Fort Moultrie NHP,"385,472",10.29%
SC,Kings Mountain NMP,"238,656",-10.17%
SC,Ninety Six NHS,"108,082",16.25%
SC,Reconstruction Era NHP,"18,262",
SD,Badlands NP,"1,006,809",-17.76%
SD,Jewel Cave NM,"119,343",10.29%
SD,Minuteman Missile NHS,"105,776",-24.60%
SD,Missouri NRR,"133,162",-5.43%
SD,Mount Rushmore NMEM,"2,440,449",-3.38%
SD,Wind Cave NP,"607,418",-14.33%
TN,Andrew Johnson NHS,"52,873",-17.02%
TN,Big South Fork NRRA,"470,659",-4.43%
TN,Chickamauga & Chattanooga NMP,"482,136",2.00%
TN,Fort Donelson NB,"183,638",-21.82%
TN,Great Smoky Mountains NP,"7,245,076",-8.64%
TN,Manhattan Project NHP,"10,546",-42.93%
TN,Natchez Trace PKWY,"850,659",2.22%
TN,Obed W&SR,"306,502",23.68%
TN,Shiloh NMP,"387,205",4.13%
TN,Stones River NB,"417,791",14.20%
TX,Alibates Flint Quarries NM,"7,520",-21.06%
TX,Amistad NRA,"912,283",-16.45%
TX,Big Bend NP,"514,107",-11.55%
TX,Big Thicket NPRES,"276,788",-4.83%
TX,Chamizal NMEM,"17,673",-9.83%
TX,Fort Davis NHS,"45,401",-5.73%
TX,Guadalupe Mountains NP,"219,987",-9.58%
TX,Lake Meredith NRA,"1,276,717",-2.37%
TX,Lyndon B. Johnson NHP,"87,386",-34.74%
TX,Padre Island NS,"531,624",-13.67%
TX,Palo Alto Battlefield NHP,"196,252",52.31%
TX,Rio Grande W&SR,263,-4.36%
TX,San Antonio Missions NHP,"1,238,920",-7.20%
TX,Waco Mammoth NM,"88,240",8.49%
UT,Arches NP,"1,460,652",-19.16%
UT,Bryce Canyon NP,"2,354,660",11.88%
UT,Canyonlands NP,"779,147",-14.53%
UT,Capitol Reef NP,"1,227,608",-12.65%
UT,Cedar Breaks NM,"688,644",-10.90%
UT,Dinosaur NM,"91,265",-2.38%
UT,Glen Canyon NRA,"1,967,965",-17.83%
