State,Park,Recreation Visitors,Percent Change
Texas,Lake Meredith NRA,"1,276,717",-2.37%
Texas,Lyndon B. Johnson NHP,"87,386",-34.74%
Texas,Padre Island NS,"531,624",-13.67%
Texas,Palo Alto Battlefield NHP,"196,252",52.31%
Texas,Rio Grande W&SR,263,-4.36%
Texas,San Antonio Missions NHP,"1,238,920",-7.20%
Texas,Waco Mammoth NM,"88,240",8.49%
Utah,Arches NP,"1,460,652",-19.16%
Utah,Bryce Canyon NP,"2,354,660",11.88%
Utah,Canyonlands NP,"779,147",-14.53%
Utah,Capitol Reef NP,"1,227,608",-12.65%
Utah,Cedar Breaks NM,"688,644",-10.90%
Utah,Dinosaur NM,"91,265",-2.38%
Utah,Glen Canyon NRA,"1,967,965",-17.83%
Utah,Golden Spike NHP,"49,042",-7.31%
Utah,Hovenweep NM,"15,931",6.50%
Utah,Natural Bridges NM,"71,249",-3.04%
Utah,Rainbow Bridge NM,81,-97.54%
Utah,Timpanogos Cave NM,"155,995",27.29%
Utah,Zion NP,"4,692,417",-6.89%
Vermont,Marsh-Billings-Rockefeller NHP,"63,956",33.25%
Virgin Islands,Buck Island Reef NM,"45,365",-0.65%
Virgin Islands,Christiansted NHS,"96,587",5.91%
Virgin Islands,Salt River Bay NHP & Ecological Pres,"12,155",13.52%
Virgin Islands,Virgin Islands NP,"196,752",-39.27%
Virginia,Appomattox Court House NHP,"83,483",-9.89%
Virginia,Arlington House The R.E. Lee MEM,"306,686",6314.68%
Virginia,Assateague Island NS,"1,567,982",-12.11%
Virginia,Blue Ridge PKWY,"5,970,181",-1.49%
Virginia,Booker T. Washington NM,"20,396",7.56%
Virginia,Colonial NHP,"2,762,273",-11.31%
Virginia,Cumberland Gap NHP,"51,306",-9.97%
Virginia,Fredericksburg & Spotsylvania NMP,"756,296",2.70%
Virginia,George Washington Birthplace NM,"96,234",-6.37%
Virginia,George Washington MEM PKWY,"7,397,120",8.44%
Virginia,LBJ Memorial Grove on the Potomac,"242,325",4.06%
Virginia,Maggie L. Walker NHS,"4,815",87.50%
Virginia,Manassas NBP,"532,727",3.12%
Virginia,Petersburg NB,"180,907",-10.27%
Virginia,Prince William Forest Park,"294,916",-9.33%
Virginia,Richmond NBP,"173,124",13.67%
Virginia,Shenandoah NP,"1,449,300",-8.98%
Virginia,Theodore Roosevelt Island,"171,500",1.21%
Virginia,Wolf Trap NP for the Performing Arts,"445,497",79.74%
Washington,Fort Vancouver NHS,"964,318",19.12%
Washington,Klondike Gold Rush NHP Seattle,"60,423",67.95%
Washington,Lake Chelan NRA,"38,207",-5.69%
Washington,Lake Roosevelt NRA,"1,128,725",-15.55%
Washington,Manhattan Project NHP,"7,103",
Washington,Minidoka NHS,"8,746",-1.13%
Washington,Mount Rainier NP,"1,622,395",-2.85%
Washington,North Cascades NP,"30,154",68.88%
Washington,Olympic NP,"2,432,972",-10.52%
Washington,Ross Lake NRA,"998,019",16.60%
Washington,San Juan Island NHP,"700,325",9.76%
Washington,Whitman Mission NHS,"52,000",18.39%
West Virginia,Bluestone NSR,"14,113",-47.16%
West Virginia,Gauley River NRA,"163,510",-2.55%
West Virginia,Harpers Ferry NHP,"407,008",31.33%
West Virginia,New River Gorge NP & PRES,"1,593,523",-5.30%
Wisconsin,Apostle Islands NL,"254,952",-12.38%
Wisconsin,Saint Croix NSR,"416,886",13.89%
Wyoming,Bighorn Canyon NRA,"100,123",-0.84%
Wyoming,Devils Tower NM,"480,713",-12.71%
Wyoming,Fort Laramie NHS,"39,657",-7.57%
Wyoming,Fossil Butte NM,"17,879",-15.48%
Wyoming,Grand Teton NP,"2,806,223",-27.77%
Wyoming,"John D. Rockefeller, Jr. MEM PKWY","1,091,196",-31.97%
Wyoming,Yellowstone NP,"1,612,219",-32.30%
,,,
