Name,Type,Park Code,Org Code,Region,Park
FIRE ISLAND    ,NS,FIIS,1750,NER,FIRE ISLAND NS
FLIGHT 93  ,NMEM,FLNI,4140,NER,FLIGHT 93 NMEM
FLORISSANT FOSSIL BEDS    ,NM,FLFO,1410,IMR,FLORISSANT FOSSIL BEDS NM
FORD'S THEATRE  ,NHS,FOTH,3460-3466,NCR,FORD'S THEATRE NHS
FORT BOWIE      ,NHS,FOBO,8640,IMR,FORT BOWIE NHS
FORT CAROLINE     ,NMEM,FOCA,5310,SER,FORT CAROLINE NMEM
FORT DAVIS      ,NHS,FODA,5310,IMR,FORT DAVIS NHS
FORT DONELSON  ,NB,FODO,5400&5409,SER,FORT DONELSON NB
FORT FREDERICA     ,NM,FOFR,5410,SER,FORT FREDERICA NM
FORT LARAMIE      ,NHS,FOLA,1420,IMR,FORT LARAMIE NHS
FORT LARNED       ,NHS,FOLS,6340,MWR,FORT LARNED NHS
FORT MATANZAS     ,NM,FOMA,5281-5299,SER,FORT MATANZAS NM
FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE,OTHER,FOMC,4340,NER,FORT MCHENRY NATIONAL MONUMENT AND HISTORIC SHRINE OTHER
FORT NECESSITY  ,NB,FONE,4160,NER,FORT NECESSITY NB
FORT POINT      ,NHS,FOPO,8160,PWR,FORT POINT NHS
FORT PULASKI     ,NM,FOPU,5420,SER,FORT PULASKI NM
FORT RALEIGH       ,NHS,FORA,5185,SER,FORT RALEIGH NHS
FORT SCOTT       ,NHS,FOSC,6350,MWR,FORT SCOTT NHS
FORT SMITH       ,NHS,FOSM,7320,MWR,FORT SMITH NHS
FORT STANWIX ,NM,FOST,1760,NER,FORT STANWIX NM
FORT SUMTER                                (includes Fort Moultrie-FOMO),NM,FOSU,5430&5440,SER,FORT SUMTER                                (includes Fort Moultrie-FOMO) NM
FORT UNION    ,NM,FOUN,7230,IMR,FORT UNION NM
FORT UNION TRADING POST       ,NHS,FOUS,1549,MWR,FORT UNION TRADING POST NHS
FORT VANCOUVER      ,NHS,FOVA,9430,PWR,FORT VANCOUVER NHS
FOSSIL BUTTE    ,NM,FOBU,1468,IMR,FOSSIL BUTTE NM
FREDRICK LAW OLMSTED  ,NHS,FRLA,1850,NER,FREDRICK LAW OLMSTED NHS
FREDRICKSBURG & SPOTSYLVANIA ,NMP,FRSP,4370/4378/ 4379,NER,FREDRICKSBURG & SPOTSYLVANIA NMP
FREEDOM RIDERS,NM,FRRI,5740,SER,FREEDOM RIDERS NM
FRIENDSHIP HILL  ,NHS,FRHI,4360,NER,FRIENDSHIP HILL NHS
GATEWAY  ,NRA,GATE,1770,NER,GATEWAY NRA
GENERAL GRANT  ,NMEM,GEGR,1814,NER,GENERAL GRANT NMEM
GEORGE ROGERS CLARK    ,NHP,GERO,6402,MWR,GEORGE ROGERS CLARK NHP
GEORGE WASHINGTON BIRTHPLACE,NM,GEWA,4380,NER,GEORGE WASHINGTON BIRTHPLACE NM
GEORGE WASHINGTON CARVER     ,NM,GWCA,6360,MWR,GEORGE WASHINGTON CARVER NM
"GEORGE WASHINGTON MEMORIAL PARKWAY (Arlington House, Great Falls Park, Glen Echo Park, Clara Barton NHS, Arlington Cemetery, Jones Point Park, Fort Hunt Park, Theodore Roosevelt Island NM)",MEMPW,GWMP,3301-3321,NCR,"GEORGE WASHINGTON MEMORIAL PARKWAY (Arlington House, Great Falls Park, Glen Echo Park, Clara Barton NHS, Arlington Cemetery, Jones Point Park, Fort Hunt Park, Theodore Roosevelt Island NM) MEMPW"
GETTYSBURG  ,NMP,GETT,4400,NER,GETTYSBURG NMP
GILA CLIFF DWELLINGS    ,NM,GICL,7250,IMR,GILA CLIFF DWELLINGS NM
GLACIER    ,NP,GLAC,1430 - 1437,IMR,GLACIER NP
GLACIER BAY    ,NP,GLBA,9815,AKR,GLACIER BAY NP
GLACIER BAY     ,NPRES,GLBA,9815,AKR,GLACIER BAY NPRES
GLEN CANYON    ,NRA,GLCA,1440-1444,IMR,GLEN CANYON NRA
GOLDEN GATE    ,NRA,GOGA,8140 - 8180,PWR,GOLDEN GATE NRA
GOLDEN SPIKE      ,NHS,GOSP,1450,IMR,GOLDEN SPIKE NHS
GOVERNORS ISLAND,NM,GOIS,1766,NER,GOVERNORS ISLAND NM
GRAND CANYON    ,NP,GRCA,8211-8227,IMR,GRAND CANYON NP
GRAND CANYON PARASHANT,NM,PARA,8230,PWR,GRAND CANYON PARASHANT NM
GRAND PORTAGE     ,NM,GRPO,6150,MWR,GRAND PORTAGE NM
GRAND TETON    ,NP,GRTE,1460 - 1467,IMR,GRAND TETON NP
GRANT-KOHRS RANCH      ,NHS,GRKO,1586,IMR,GRANT-KOHRS RANCH NHS
GREAT BASIN    ,NP,GRBA,8420,PWR,GREAT BASIN NP
GREAT SAND DUNES    ,NP,GRSA,1470,IMR,GREAT SAND DUNES NP
GREAT SAND DUNES      ,PRES,GRSA,1470,IMR,GREAT SAND DUNES PRES
GREAT SMOKY MOUNTAINS     ,NP,GRSM,5460,SER,GREAT SMOKY MOUNTAINS NP
